Date of Download: 2023-06-07_19:57:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Search Parameters: Data Level:all  Trait List:  Trial List:9827,10416,9775,10793,11546  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Change in weight after boiling computation percentage|month 12|boiling time 20 minutes|COMP:0000287,Change in weight after boiling computation percentage|month 12|boiling time 30 minutes|COMP:0000288,Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051,beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053,branching angle in degrees|CO_334:0002082,branching level counting|CO_334:0000079,cassava bacterial blight severity 3-month evaluation|CO_334:0000175,dry matter content by specific gravity method|CO_334:0000160,dry matter content by table-top NIRS in percentage|CO_334:0002057,first apical branch height measurement in cm|CO_334:0000106,fresh root yield|CO_334:0000013,fresh storage root weight per plot|CO_334:0000012,frog skin disease : visual 1-5|CO_334:0000093,initial plant vigor assessment 1-5|CO_334:0000220,lodged plants estimation 1-3|CO_334:0000301,lodged plants estimation 1-3|month 6|COMP:0000208,marketable root number counting|CO_334:0000169,number of planted stakes per plant counting|CO_334:0000300,number of planted stakes per plot counting|CO_334:0000159,plant architecture visual rating 1-5|CO_334:0000099,plant height measurement in cm|CO_334:0000018,plant height with leaf in cm|CO_334:0000123,plant stands harvested counting|CO_334:0000010,root color visual rating 1-3|CO_334:0000221,root constriction visual rating 1-3|CO_334:0000109,root evaluation scaled 1-5|CO_334:0000228,root length evaluation scaled 1-3|CO_334:0000226,root weight in air|CO_334:0000157,root weight in water|CO_334:0000158,rotted storage root counting|CO_334:0000084,sprout count discrete counting|CO_334:0000138,storage root neck length visual rating 1-3|CO_334:0000223,storage root shape visual rating 1-6|CO_334:0000020,thrips severity : visual 1-5|CO_334:0002084,total carotenoid by chart 1-8|CO_334:0000161,notes
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",139268,CM4919-1,,plot,3922258,202177DVGST_momi_rep1_CM4919-1_92,1,1,92,3,28,check,,,,,,0,0,,35.70715299,,160,29.3956044,10.7,,3,1,,20,6,4,3,160,40,4,3,1,2,2,4750,521,,4,1,3,1,4," (Operator: lizbethpino, Time: ), Pt2 (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722043,CM6153A-2,,plot,3922323,202177DVGST_momi_rep1_CM6153A-2_64,1,1,64,2,1,test,,,,,,90,4,,38.13628258,,100,51.37362637,18.7,,4,1,,27,10,4,3,240,20,4,2,2,2,1,4150,505,,4,2,2,1,1," (Operator: lizbethpino, Time: ), Pt4:Curve:Lodging (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722044,CM6153A-3,,plot,3922379,202177DVGST_momi_rep1_CM6153A-3_277,1,1,277,9,21,test,,,,,,85,4,,37.27609733,,100,40.10989011,14.6,,4,1,,29,8,4,3,250,10,4,3,1,2,1,4750,558,,4,2,3,2,2," (Operator: lizbethpino, Time: ), Pt3:NonLeaf (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722045,CM6153A-4,,plot,3922405,202177DVGST_momi_rep1_CM6153A-4_103,1,1,103,4,26,test,,,,,,70,3,,38.1058669,,115,21.42857143,7.8,,4,1,,9,8,4,2,200,10,4,2,1,4,1,4550,553,,4,1,2,3,1," (Operator: lizbethpino, Time: ), Tps3:NonLeaf:Pt3 (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722046,CM6153A-5,,plot,3922337,202177DVGST_momi_rep1_CM6153A-5_116,1,1,116,4,13,test,,,,,,90,4,,36.63064516,,140,31.04395604,11.3,,5,1,,13,10,4,2,260,20,4,3,1,3,2,4550,520,,4,2,3,2,1,"NonLeaf:Pt3 (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722047,CM6153B-10,,plot,3922523,202177DVGST_momi_rep1_CM6153B-10_251,1,1,251,8,6,test,,,,,,85,4,,35.24291598,,165,25.68681319,9.35,,4,1,,17,10,4,1,280,20,4,3,1,2,2,3400,365,,4,2,3,2,1," (Operator: lizbethpino, Time: ), Pt1 (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722048,CM6153B-11,,plot,3921812,202177DVGST_momi_rep1_CM6153B-11_214,1,1,214,7,22,test,,,,,,90,3,,34.48361471,,160,41.20879121,15,,4,1,,13,8,4,1,225,30,4,3,1,2,1,3700,383,,4,2,3,2,2," (Operator: lizbethpino, Time: ), Pt2:Curve:NonLeaf (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722049,CM6153B-6,,plot,3922200,202177DVGST_momi_rep1_CM6153B-6_222,1,1,222,7,30,test,,,,,,85,3,,36.73550469,,90,25.54945055,9.3,,3,1,,12,6,4,4,195,30,4,3,1,3,2,3850,442,,4,2,3,2,1," (Operator: lizbethpino, Time: ), Pt4 (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722050,CM6153B-7,,plot,3921794,202177DVGST_momi_rep1_CM6153B-7_3,1,1,3,1,3,test,,,,,,90,4,,32.91080402,,105,55.35714286,20.15,,4,1,,36,10,4,4,210,30,4,2,1,3,2,4400,420,,4,1,3,1,1,"Curve:Pt3 (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722051,CM6153B-8,,plot,3922566,202177DVGST_momi_rep1_CM6153B-8_323,1,1,323,11,3,test,,,,,,90,3,,33.99767408,,150,33.24175824,12.1,,5,1,,17,10,4,3,320,20,4,2,1,3,2,3850,389,,4,3,3,2,2," (Operator: lizbethpino, Time: ), Pt3 (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",54015,COL1505,,plot,3921814,202177DVGST_momi_rep1_COL1505_160,1,1,160,5,32,test,,,,,,90,3,,35.19043096,,85,23.62637363,8.6,,3,1,,12,8,4,3,170,30,4,2,1,4,1,3950,423,,4,1,1,2,3," (Operator: lizbethpino, Time: ), Pt3 (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",242158,COL1722,,plot,3921906,202177DVGST_momi_rep1_COL1722_286,1,1,286,9,30,test,,,,,,85,3,,32.98410138,,115,28.57142857,10.4,,4,1,,20,8,4,3,260,30,4,3,1,3,2,3600,345,,4,3,3,2,3," (Operator: lizbethpino, Time: ), Pt4:Curve (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",139299,COL2215,,plot,3922179,202177DVGST_momi_rep1_COL2215_187,1,1,187,6,6,test,,,,,,90,2,,31.6557253,,75,17.58241758,6.4,,3,1,,10,6,4,4,165,10,4,3,2,4,2,3700,329,,4,1,3,1,1,"NonLeaf:Pt4 (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",340252,CR138,,plot,3922489,202177DVGST_momi_rep1_CR138_80,1,1,80,3,16,test,,,,,,90,4,,29.07727488,,95,31.04395604,11.3,,4,1,,18,8,4,3,220,30,4,3,3,3,2,4575,344,,4,2,3,3,2," (Operator: lizbethpino, Time: ), Pt3 (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",221395,CUB46,,plot,3922518,202177DVGST_momi_rep1_CUB46_74,1,1,74,3,10,test,,,,,,90,1,,31.84061728,,155,34.06593407,12.4,,4,1,,9,8,4,2,220,20,4,1,1,3,1,4450,400,,4,2,2,1,1," (Operator: lizbethpino, Time: ), Pt2:Non-br:NonLeaf (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2451617,GM10054B-1,,plot,3922385,202177DVGST_momi_rep1_GM10054B-1_133,1,1,133,5,5,test,,,,,,90,4,,35.12041763,,75,33.51648352,12.2,,4,1,,26,10,4,3,220,30,4,3,1,3,2,4825,515,,4,2,3,2,1," (Operator: lizbethpino, Time: ), Pt4:Curve (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2451622,GM10055B-1,,plot,3922009,202177DVGST_momi_rep1_GM10055B-1_130,1,1,130,5,2,test,,,,,,90,4,,33.38407235,,20,23.9010989,8.7,,3,1,,14,6,4,4,175,20,4,3,1,3,2,4750,465,,4,1,3,3,3," (Operator: lizbethpino, Time: ), Pt4:Tps3:NonLeaf (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2452160,GM11129-11,,plot,3921820,202177DVGST_momi_rep1_GM11129-11_381,1,1,381,12,4,test,,,,,,75,3,,28.42131238,,75,18.95604396,6.9,,4,1,,12,8,4,2,215,20,4,2,2,4,3,4900,351,,4,1,4,1,1," (Operator: lizbethpino, Time: ), Pt2 (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2452165,GM11129-27,,plot,3921802,202177DVGST_momi_rep1_GM11129-27_292,1,1,292,10,29,test,,,,,,90,3,,31.39250318,,80,17.99450549,6.55,,4,1,,14,6,4,3,195,20,4,3,1,4,2,3450,302,,4,2,2,2,3," (Operator: lizbethpino, Time: ), Pt4 (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2599700,GM11129-35,,plot,3922296,202177DVGST_momi_rep1_GM11129-35_75,1,1,75,3,11,test,,,,,,85,4,,32.78268124,,65,36.12637363,13.15,,5,2,,18,10,4,3,250,40,4,3,2,3,3,4800,455,,4,2,3,1,1," (Operator: lizbethpino, Time: ), Pt4:Lodging:NonLeaf (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2452235,GM11194-2,,plot,3922306,202177DVGST_momi_rep1_GM11194-2_360,1,1,360,12,25,test,,,,,,80,3,,32.99359141,,110,17.85714286,6.5,,4,1,,10,8,4,3,215,10,4,3,1,4,1,3400,326,,4,1,2,2,1," (Operator: lizbethpino, Time: ), Pt3 (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722053,GM13150A-1,,plot,3921942,202177DVGST_momi_rep1_GM13150A-1_275,1,1,275,9,19,test,,,,,,85,2,,33.22444625,,190,27.74725275,10.1,,5,1,,19,10,4,2,300,30,3,3,1,3,2,4100,398,,3,3,2,2,1," (Operator: lizbethpino, Time: ), Pt1:Non-br (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722054,GM13165A-1,,plot,3922033,202177DVGST_momi_rep1_GM13165A-1_47,1,1,47,2,18,test,,,,,,90,5,,34.46210252,,100,40.93406593,14.9,,5,1,,18,10,4,2,240,20,4,3,1,3,1,4700,486,,4,1,2,2,1," (Operator: lizbethpino, Time: ), Pt3:Curve:NonLeaf:Pt2 (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722055,GM13172A-1,,plot,3922182,202177DVGST_momi_rep1_GM13172A-1_128,1,1,128,4,1,test,,,,,,90,3,,32.83331749,,95,47.66483516,17.35,,4,1,,35,8,4,3,230,20,4,3,1,2,2,4650,442,,4,1,2,2,2," (Operator: lizbethpino, Time: ), Pt3:NonLeaf (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722056,GM13172A-2,,plot,3922490,202177DVGST_momi_rep1_GM13172A-2_361,1,1,361,12,24,test,,,,,,90,4,,35.09265301,,150,25.82417582,9.4,,5,1,,24,10,4,2,290,30,4,3,1,3,1,4700,501,,4,2,2,2,1," (Operator: lizbethpino, Time: ), Pt2 (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722057,GM13172A-3,,plot,3922443,202177DVGST_momi_rep1_GM13172A-3_414,1,1,414,13,30,test,,,,,,90,4,,30.21730906,,100,45.6043956,16.6,,5,1,,21,10,4,2,270,30,4,3,1,1,2,3050,248,,4,2,3,1,1," (Operator: lizbethpino, Time: ), Pt3 (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722058,GM13172A-4,,plot,3921810,202177DVGST_momi_rep1_GM13172A-4_132,1,1,132,5,4,test,,,,,,85,4,,32.00605487,,110,36.26373626,13.2,,4,1,,22,10,4,2,260,40,,3,1,3,1,4650,422,,4,1,2,2,2," (Operator: lizbethpino, Time: ), Pt3:Curve (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722060,GM13192A-10,,plot,3922011,202177DVGST_momi_rep1_GM13192A-10_305,1,1,305,10,16,test,,,,,,0,0,,32.72303884,,190,11.81318681,4.3,,3,1,,7,6,4,3,190,20,3,3,1,4,1,2900,274,,3,2,3,1,1," (Operator: lizbethpino, Time: ), Pt2:Non-br (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722061,GM13192A-11,,plot,3921918,202177DVGST_momi_rep1_GM13192A-11_227,1,1,227,8,30,test,,,,,,0,0,,32.96105845,,260,14.01098901,5.1,,4,1,,5,10,4,1,260,40,2,3,1,3,1,3500,335,,2,1,3,1,2,"BadGerm:Pt1 (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722059,GM13192A-1,,plot,3922064,202177DVGST_momi_rep1_GM13192A-1_161,1,1,161,6,32,test,,,,,,85,3,,31.14835841,,110,32.00549451,11.65,,4,1,,17,8,4,2,220,30,4,3,1,3,2,4000,345,,4,2,3,2,2," (Operator: lizbethpino, Time: ), Pt2:NonLeaf (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9775,202177DVGST_momi,202177DVGST_momi,RCBD,1.3,2.8,,no,no,2021-July-03,2022-March-30,127,"Momil. Cordoba, Colombia",2722062,GM13192A-12,,plot,3921890,202177DVGST_momi_rep1_GM13192A-12_120,1,1,120,4,9,test,,,,,,85,3,,32.50147059,,145,44.23076923,16.1,,5,1,,25,10,4,2,220,10,4,2,1,2,2,4800,448,,4,2,3,1,1,"NonLeaf:Pt3 (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )"
