"Date of Download: 2023-06-26_17:11:16"
"Search Parameters: Data Level:all  Trait List:  Trial List:11053  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Change in weight after boiling computation percentage|month 10|boiling time 20 minutes|COMP:0000224","Change in weight after boiling computation percentage|month 10|boiling time 30 minutes|COMP:0000225","Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051","beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053","branching level counting|CO_334:0000079","dry matter content by table-top NIRS in percentage|CO_334:0002057","first apical branch height measurement in cm|CO_334:0000106","frog skin disease : visual 1-5|CO_334:0000093","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant stands harvested counting|CO_334:0000010","red spider mite severity : visual 1-5|CO_334:0000044","root color visual rating 1-3|CO_334:0000221","root evaluation scaled 1-5|CO_334:0000228","root length evaluation scaled 1-3|CO_334:0000226","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","thrips severity : visual 1-5|CO_334:0002084","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139268","CM4919-1","","plot","5375965","202271DVGST_ciat_rep1_CM4919-1_360","1","1","360","20","1","check","","6.9","15.1","2.2","1.1","2","36.8","125","4","4","1","5","2","2","2","2","4","","0","5","1","3"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139268","CM4919-1","","plot","5375647","202271DVGST_ciat_rep1_CM4919-1_369","1","1","369","21","9","check","","","","2.7","1.4","2","37.2","120","3","3","1","5","2","2","2","2","3","","0","5","1","3"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139268","CM4919-1","","plot","5375792","202271DVGST_ciat_rep1_CM4919-1_399","1","1","399","23","3","check","","","","3","1.8","1","35.3","135","3","3","1","5","3","2","3","3","4","","0","5","1","3"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139268","CM4919-1","","plot","5375887","202271DVGST_ciat_rep1_CM4919-1_422","1","1","422","24","11","check","","5.9","11.5","2.7","1","3","32.1","110","1","3","2","5","3","2","3","2","3","","0","5","1","3"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722043","CM6153A-2","","plot","5375993","202271DVGST_ciat_rep1_CM6153A-2_427","1","1","427","24","6","test","","","","0.9","0.4","3","39.5","90","5","3","1","5","4","2","2","2","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722044","CM6153A-3","","plot","5376003","202271DVGST_ciat_rep1_CM6153A-3_106","1","1","106","6","3","test","","","","0.6","0.1","4","41.7","70","1","3","1","5","4","2","2","2","4","","1","5","1","2"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722045","CM6153A-4","","plot","5375741","202271DVGST_ciat_rep1_CM6153A-4_168","1","1","168","10","13","test","","","","0.9","0.4","4","40.6","85","1","4","3","5","4","2","3","1","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722046","CM6153A-5","","plot","5375867","202271DVGST_ciat_rep1_CM6153A-5_37","1","1","37","3","1","test","","2.7","6.8","0","","4","42.7","70","1","3","1","5","4","2","1","3","3","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722047","CM6153B-10","","plot","5375991","202271DVGST_ciat_rep1_CM6153B-10_430","1","1","430","24","3","test","","","","0.6","0.2","4","40.8","75","","3","1","5","3","2","2","3","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722048","CM6153B-11","","plot","5376040","202271DVGST_ciat_rep1_CM6153B-11_202","1","1","202","12","15","test","","","","0.3","","3","35.1","155","1","3","2","5","4","2","2","1","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722049","CM6153B-6","","plot","5375876","202271DVGST_ciat_rep1_CM6153B-6_78","1","1","78","5","6","test","","3.1","4","0.2","","4","38.8","90","3","3","1","5","4","2","3","2","3","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722050","CM6153B-7","","plot","5375911","202271DVGST_ciat_rep1_CM6153B-7_146","1","1","146","9","2","test","","","","0.7","0.1","4","41.9","75","1","3","1","5","4","2","2","1","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722051","CM6153B-8","","plot","5375901","202271DVGST_ciat_rep1_CM6153B-8_121","1","1","121","7","13","test","","0.7","1.2","","","4","36.3","65","1","3","2","5","4","2","2","2","3","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","54015","COL1505","","plot","5375789","202271DVGST_ciat_rep1_COL1505_98","1","1","98","6","11","test","","6.5","13.9","1.1","0.7","3","41.2","135","1","3","1","5","3","2","2","2","3","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","242158","COL1722","","plot","5375875","202271DVGST_ciat_rep1_COL1722_285","1","1","285","16","4","test","","","","0.6","0.3","3","40.4","125","1","3","1","5","4","2","1","1","3","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139299","COL2215","","plot","5375716","202271DVGST_ciat_rep1_COL2215_130","1","1","130","8","15","check","","","","0.4","0","3","44","70","1","3","1","5","4","2","2","3","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139299","COL2215","","plot","5375730","202271DVGST_ciat_rep1_COL2215_14","1","1","14","1","14","check","","","","0.8","0.5","3","41.6","65","1","2","1","5","5","2","3","3","4","","0","5","2","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139299","COL2215","","plot","5375811","202271DVGST_ciat_rep1_COL2215_257","1","1","257","15","5","check","","","","1","0.5","2","40.2","75","1","2","1","5","5","2","3","2","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139299","COL2215","","plot","5375796","202271DVGST_ciat_rep1_COL2215_268","1","1","268","15","16","check","","","","0.6","0.1","3","44","75","1","3","1","5","4","2","2","3","3","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139299","COL2215","","plot","5375679","202271DVGST_ciat_rep1_COL2215_276","1","1","276","16","13","check","","","","1.2","0.5","3","43.2","70","1","3","3","5","4","2","2","2","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139299","COL2215","","plot","5375648","202271DVGST_ciat_rep1_COL2215_298","1","1","298","17","10","check","","","","1.1","0.4","3","41.4","85","1","3","1","5","5","2","2","3","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139299","COL2215","","plot","5375830","202271DVGST_ciat_rep1_COL2215_85","1","1","85","5","13","check","","10.7","19.6","0.6","0.2","3","44.4","55","1","2","1","5","4","2","2","3","4","","0","5","1","2"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","139299","COL2215","","plot","5376045","202271DVGST_ciat_rep1_COL2215_99","1","1","99","6","10","check","","","","0.9","0.6","3","40.4","60","1","3","1","5","4","2","1","3","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","340252","CR138","","plot","5375700","202271DVGST_ciat_rep1_CR138_310","1","1","310","18","15","test","","","","1.3","0.7","3","35.7","65","1","3","1","5","4","2","1","3","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","221395","CUB46","","plot","5375992","202271DVGST_ciat_rep1_CUB46_84","1","1","84","5","12","test","","","","0.6","0.7","3","34.6","105","1","3","1","5","3","2","3","1","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2451617","GM10054B-1","","plot","5375972","202271DVGST_ciat_rep1_GM10054B-1_32","1","1","32","2","5","test","","","","1.1","0.8","4","42.6","25","1","3","1","5","4","2","2","3","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2451622","GM10055B-1","","plot","5376067","202271DVGST_ciat_rep1_GM10055B-1_320","1","1","320","18","5","test","","7.3","17.6","0.6","0.4","3","39.1","30","1","2","1","5","5","2","2","3","3","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2452160","GM11129-11","","plot","5375942","202271DVGST_ciat_rep1_GM11129-11_102","1","1","102","6","7","test","","1.4","1.6","","","4","32.3","25","1","3","1","5","4","2","1","2","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2452165","GM11129-27","","plot","5375813","202271DVGST_ciat_rep1_GM11129-27_58","1","1","58","4","15","test","","","","","","3","39.1","70","1","2","1","5","4","2","2","2","3","","0","5","1","2"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2599700","GM11129-35","","plot","5376047","202271DVGST_ciat_rep1_GM11129-35_312","1","1","312","18","13","test","","6.8","15.5","","","4","37.6","45","1","3","3","5","5","2","1","2","3","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2452235","GM11194-2","","plot","5376058","202271DVGST_ciat_rep1_GM11194-2_261","1","1","261","15","9","test","","","","","","3","","125","1","3","1","5","4","2","1","2","5","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722053","GM13150A-1","","plot","5375696","202271DVGST_ciat_rep1_GM13150A-1_179","1","1","179","10","2","test","","4.8","12.8","0.8","0.3","3","40.3","150","1","4","1","5","4","2","1","3","3","","0","2","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722054","GM13165A-1","","plot","5375758","202271DVGST_ciat_rep1_GM13165A-1_234","1","1","234","13","18","test","","","","0.8","0.4","3","39.8","65","1","3","2","5","4","2","3","3","4","","1","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722055","GM13172A-1","","plot","5375850","202271DVGST_ciat_rep1_GM13172A-1_255","1","1","255","15","3","test","","","","0.7","0","2","39.6","115","1","3","1","5","3","2","2","3","4","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722056","GM13172A-2","","plot","5375746","202271DVGST_ciat_rep1_GM13172A-2_10","1","1","10","1","10","test","","4.8","11.8","1","0.5","4","42.6","95","1","4","1","5","3","2","2","3","3","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722057","GM13172A-3","","plot","5375708","202271DVGST_ciat_rep1_GM13172A-3_252","1","1","252","14","1","test","","4.8","10.2","1","0.3","4","38.6","75","1","4","1","5","3","2","2","3","3","","0","5","1","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","11053","202271DVGST_ciat","202271DVGST_ciat","RCBD","1.2","4","","no","no","2022-August-10","2023-June-20","41","CIAT. Valle, Colombia","2722058","GM13172A-4","","plot","5376065","202271DVGST_ciat_rep1_GM13172A-4_6","1","1","6","1","6","test","","","","0.7","0.3","4","39.3","65","1","3","1","5","4","2","2","3","4","","0","5","1","2"," (Operator: lizbethpino, Time: )"
